-5.000000000000000000e+00 1.186201877844019214e-12 -1.162433200088616484e-11 7.967309592605909888e-11 4.408485735005412107e-10 2.087821399967599299e-09
-4.994994994994994997e+00 2.375312829135919540e-12 -2.327600765519407078e-11 1.595256259001967680e-10 8.826458443941351236e-10 4.179926659766042375e-09
-4.989989989989989994e+00 3.570237167219851297e-12 -3.498231838144951087e-11 2.397366292534517876e-10 1.326338131797237584e-09 6.280587497980176474e-09
-4.984984984984984990e+00 4.773881513069029494e-12 -4.677056705161215544e-11 3.204851505330524039e-10 1.772871395932094008e-09 8.394072181161579065e-09
-4.979979979979979987e+00 5.989161810673786888e-12 -5.866813116144500485e-11 4.019506358737347803e-10 2.223193237853894388e-09 1.052465412074775328e-08
-4.974974974974974984e+00 7.219010307237339347e-12 -7.070252563133725558e-11 4.843133267007514584e-10 2.678254883842496469e-09 1.267662039545569609e-08
-4.969969969969969981e+00 8.466382515036531128e-12 -8.290146538324440205e-11 5.677546516403659107e-10 3.139013158686020199e-09 1.485428021650913885e-08
-4.964964964964964977e+00 9.734264171552500383e-12 -9.529292783701806906e-11 6.524576174979078787e-10 3.606432452000860442e-09 1.706197335268885460e-08
-4.959959959959959974e+00 1.102567821426524594e-11 -1.079052154673525249e-10 7.386072001497519850e-10 4.081486681659251757e-09 1.930407853186257588e-08
-4.954954954954954971e+00 1.234369178633562546e-11 -1.207670185608658701e-10 8.263907361838156497e-10 4.565161258331167054e-09 2.158502183535401178e-08
-4.949949949949949968e+00 1.369142328926702714e-11 -1.339074783114502358e-10 9.159983161132946123e-10 5.058455055091739210e-09 2.390928510124805253e-08
-4.944944944944944965e+00 1.507204949854610395e-11 -1.473562503909610640e-10 1.007623179980304190e-09 5.562382385998272326e-09 2.628141435250016443e-08
-4.939939939939939961e+00 1.648881275820637552e-11 -1.611435691315589769e-10 1.101462116159829074e-09 6.077974997501964381e-09 2.870602826552087853e-08
-4.934934934934934958e+00 1.794502827023994730e-11 -1.753003124555662882e-10 1.197715864169857007e-09 6.606284076528591429e-09 3.118782669474115336e-08
-4.929929929929929955e+00 1.944409149479972820e-11 -1.898580676885418910e-10 1.296589522290717163e-09 7.148382279039209352e-09 3.373159926852841827e-08
