0.000000000000000000e+00 1.104484795840834126e-06 -1.983820858099938480e-06 2.912932151237407181e-06 -3.770859175991850597e-06 4.586910868634598893e-06 -5.206305133201867762e-06 5.251288450567276861e-06
1.001001001001000992e-02 2.215503957226179463e-06 -3.979087841681585378e-06 5.842288350114050699e-06 -7.562562648318870054e-06 9.198753351203426608e-06 -1.044050560154642404e-05 1.053039617326832352e-05
2.002002002002001985e-02 3.339542585724028687e-06 -5.997155206564079344e-06 8.804353396086764833e-06 -1.139576981335600868e-05 1.386022952034691274e-05 -1.573023186982382092e-05 1.586487191523348062e-05
3.003003003003002977e-02 4.483073599930625736e-06 -8.049348597646136376e-06 1.181536142846397652e-05 -1.529106526774796262e-05 1.859594127053020547e-05 -2.110299209249664074e-05 2.128213437312593515e-05
4.004004004004003969e-02 5.652593725233621739e-06 -1.014702635944900964e-05 1.489158167303440709e-05 -1.926906525467827629e-05 2.343051526394396354e-05 -2.658630968837780918e-05 2.680960766294914784e-05
5.005005005005004615e-02 6.854658602462989224e-06 -1.230163924902914604e-05 1.804940182845787361e-05 -2.335052104412626295e-05 2.838872414026951370e-05 -3.220785667165127224e-05 3.247485250922112909e-05
6.006006006006005954e-02 8.095917212204736368e-06 -1.452478887877219752e-05 2.130540954096194107e-05 -2.755641979417612413e-05 3.349560462303050620e-05 -3.799558342734128756e-05 3.830569382459082529e-05
7.007007007007007293e-02 9.383145799566531856e-06 -1.682828519578830992e-05 2.467647238635591178e-05 -3.190808340331995605e-05 3.877657311123716103e-05 -4.397784557047153400e-05 4.433034530255476250e-05
8.008008008008007939e-02 1.072328147344036938e-05 -1.922420328589089533e-05 2.817981675164078238e-05 -3.642726582997728185e-05 4.425753930494229752e-05 -5.018352848355982861e-05 5.057753160167356357e-05
9.009009009009008584e-02 1.212345564469028832e-05 -2.172493977326340724e-05 3.183310598429353068e-05 -4.113624932481065532e-05 4.996501837678976159e-05 -5.664217008635106094e-05 5.707660865918519376e-05
1.001001001001000923e-01 1.359102745909768805e-05 -2.434326907172478795e-05 3.565451815539231225e-05 -4.605793999355183737e-05 5.592624216829935631e-05 -6.338408235442232841e-05 6.385768263479173321e-05
1.101101101101101126e-01 1.513361737322695704e-05 -2.709239972983201947e-05 3.966282376290255720e-05 -5.121596308268930553e-05 6.216926985917708536e-05 -7.044047206915115416e-05 7.095172795132112184e-05
1.201201201201201191e-01 1.675914101454221977e-05 -2.998603109976033740e-05 4.387746368345814583e-05 -5.663475835725753854e-05 6.872309853007573974e-05 -7.784356125020246142e-05 7.839070486762105786e-05
1.301301301301301394e-01 1.847584346103135398e-05 -3.303841054884162470e-05 4.831862766465857715e-05 -6.233967591887684570e-05 7.561777401368795942e-05 -8.562670769286747946e-05 8.620767699014293705e-05
